millis,node,x,y,rssi,distance,target_x,target_y
4008,2,42.5,0,-76.119,32.7496,30.4536,30.4536
4008,5,0,42.5,-76.119,32.7496,30.4536,30.4536
4008,1,0,0,-79.6926,43.0678,30.4535,30.4535
4108,2,42.5,0,-76.0524,32.583,30.153,30.153
4108,5,0,42.5,-76.0524,32.583,30.153,30.153
4108,1,0,0,-79.5635,42.6428,30.153,30.153
4208,2,42.5,0,-75.9874,32.4212,29.8525,29.8525
4208,5,0,42.5,-75.9874,32.4212,29.8525,29.8525
4208,1,0,0,-79.4331,42.2178,29.8525,29.8525
4308,2,42.5,0,-75.924,32.2641,29.552,29.552
4308,5,0,42.5,-75.924,32.2641,29.552,29.552
4308,1,0,0,-79.3014,41.7928,29.552,29.552
4408,2,42.5,0,-75.8622,32.1119,29.2515,29.2515
4408,5,0,42.5,-75.8622,32.1119,29.2515,29.2515
4408,1,0,0,-79.1683,41.3678,29.2515,29.2515
4508,2,42.5,0,-75.8022,31.9646,28.9509,28.9509
4508,5,0,42.5,-75.8022,31.9646,28.9509,28.9509
4508,1,0,0,-79.0339,40.9428,28.9509,28.9509
4608,2,42.5,0,-75.7439,31.8223,28.6504,28.6504
4608,5,0,42.5,-75.7439,31.8223,28.6504,28.6504
4608,1,0,0,-78.8981,40.5178,28.6504,28.6504
4708,2,42.5,0,-75.6874,31.685,28.3499,28.3499
4708,5,0,42.5,-75.6874,31.685,28.3499,28.3499
4708,1,0,0,-78.7608,40.0928,28.3499,28.3499
4808,2,42.5,0,-75.6328,31.5529,28.0494,28.0494
4808,5,0,42.5,-75.6328,31.5529,28.0494,28.0494
4808,1,0,0,-78.6221,39.6678,28.0494,28.0494
4908,2,42.5,0,-75.5802,31.426,27.7489,27.7489
4908,5,0,42.5,-75.5802,31.426,27.7489,27.7489
4908,1,0,0,-78.4819,39.2428,27.7489,27.7489
5008,2,42.5,0,-75.5295,31.3044,27.4483,27.4483
5008,5,0,42.5,-75.5295,31.3044,27.4483,27.4483
5008,1,0,0,-78.3401,38.8178,27.4483,27.4483
5108,2,42.5,0,-75.4808,31.188,27.1478,27.1478
5108,5,0,42.5,-75.4808,31.188,27.1478,27.1478
5108,1,0,0,-78.1968,38.3928,27.1478,27.1478
5208,2,42.5,0,-75.4342,31.0771,26.8473,26.8473
5208,5,0,42.5,-75.4342,31.0771,26.8473,26.8473
5208,1,0,0,-78.0519,37.9678,26.8473,26.8473
5308,2,42.5,0,-75.3897,30.9715,26.5468,26.5468
5308,5,0,42.5,-75.3897,30.9715,26.5468,26.5468
5308,1,0,0,-77.9054,37.5428,26.5468,26.5468
5408,2,42.5,0,-75.3473,30.8715,26.2463,26.2463
5408,5,0,42.5,-75.3473,30.8715,26.2463,26.2463
5408,1,0,0,-77.7572,37.1178,26.2463,26.2463
5508,2,42.5,0,-75.3072,30.777,25.9457,25.9457
5508,5,0,42.5,-75.3072,30.777,25.9457,25.9457
5508,1,0,0,-77.6073,36.6928,25.9457,25.9457
5608,2,42.5,0,-75.2693,30.6881,25.6452,25.6452
5608,5,0,42.5,-75.2693,30.6881,25.6452,25.6452
5608,1,0,0,-77.4557,36.2678,25.6452,25.6452
5708,2,42.5,0,-75.2337,30.6049,25.3447,25.3447
5708,5,0,42.5,-75.2337,30.6049,25.3447,25.3447
5708,1,0,0,-77.3023,35.8428,25.3447,25.3447
5808,2,42.5,0,-75.2005,30.5273,25.0442,25.0442
5808,5,0,42.5,-75.2005,30.5273,25.0442,25.0442
5808,1,0,0,-77.147,35.4178,25.0442,25.0442
5908,2,42.5,0,-75.1696,30.4555,24.7437,24.7437
5908,5,0,42.5,-75.1696,30.4555,24.7437,24.7437
5908,1,0,0,-76.9899,34.9928,24.7437,24.7437
6008,2,42.5,0,-75.1411,30.3894,24.4431,24.4431
6008,5,0,42.5,-75.1411,30.3894,24.4431,24.4431
6008,1,0,0,-76.8308,34.5678,24.4431,24.4431
6108,2,42.5,0,-75.115,30.3292,24.1426,24.1426
6108,5,0,42.5,-75.115,30.3292,24.1426,24.1426
6108,1,0,0,-76.6698,34.1428,24.1426,24.1426
6208,2,42.5,0,-75.0914,30.2748,23.8421,23.8421
6208,5,0,42.5,-75.0914,30.2748,23.8421,23.8421
6208,1,0,0,-76.5068,33.7178,23.8421,23.8421
6308,2,42.5,0,-75.0703,30.2263,23.5416,23.5416
6308,5,0,42.5,-75.0703,30.2263,23.5416,23.5416
6308,1,0,0,-76.3417,33.2928,23.5416,23.5416
6408,2,42.5,0,-75.0517,30.1837,23.2411,23.2411
6408,5,0,42.5,-75.0517,30.1837,23.2411,23.2411
6408,1,0,0,-76.1745,32.8678,23.2411,23.2411
6508,2,42.5,0,-75.0357,30.147,22.9405,22.9405
