node,millis,rssi
192.168.4.2,48880,-75
192.168.4.4,48880,-73
192.168.4.3,48912,-70
192.168.4.6,48912,-84
192.168.4.2,48912,-74
192.168.4.4,48912,-69
192.168.4.3,48928,-75
192.168.4.6,48928,-88
192.168.4.2,48928,-75
192.168.4.4,48928,-73
192.168.4.6,48944,-82
192.168.4.2,48944,-76
192.168.4.4,48944,-73
192.168.4.3,48960,-71
192.168.4.6,48960,-87
192.168.4.2,48960,-75
192.168.4.4,48960,-72
192.168.4.3,48976,-73
192.168.4.6,48976,-85
192.168.4.2,48976,-76
192.168.4.4,48976,-71
192.168.4.3,49008,-71
192.168.4.6,49008,-81
192.168.4.2,49008,-76
192.168.4.4,49008,-73
192.168.4.3,49024,-72
192.168.4.6,49024,-90
192.168.4.2,49024,-75
192.168.4.4,49024,-70
192.168.4.3,49040,-71
192.168.4.6,49040,-82
192.168.4.2,49040,-74
192.168.4.4,49040,-72
192.168.4.3,49056,-72
192.168.4.6,49056,-84
192.168.4.2,49056,-75
192.168.4.3,49072,-72
192.168.4.6,49072,-83
192.168.4.2,49072,-73
192.168.4.4,49072,-71
192.168.4.3,49088,-71
192.168.4.6,49088,-87
192.168.4.2,49088,-74
192.168.4.4,49088,-72
192.168.4.3,49104,-73
192.168.4.6,49104,-83
192.168.4.2,49104,-75
192.168.4.4,49104,-72
192.168.4.3,49120,-74
192.168.4.6,49120,-84
192.168.4.2,49120,-75
192.168.4.4,49120,-71
192.168.4.3,49136,-73
192.168.4.6,49136,-87
192.168.4.2,49136,-76
192.168.4.4,49136,-74
192.168.4.3,49152,-75
192.168.4.6,49152,-82
192.168.4.2,49152,-75
192.168.4.4,49152,-73
192.168.4.3,49168,-73
192.168.4.6,49168,-86
192.168.4.4,49168,-73
192.168.4.3,49184,-72
192.168.4.6,49184,-82
192.168.4.2,49184,-76
192.168.4.4,49184,-71
192.168.4.3,49200,-72
192.168.4.6,49200,-88
192.168.4.2,49200,-75
192.168.4.4,49200,-68
192.168.4.3,49216,-71
192.168.4.6,49216,-81
192.168.4.4,49216,-74
192.168.4.3,49232,-71
192.168.4.6,49232,-82
192.168.4.4,49232,-71
192.168.4.3,49264,-71
192.168.4.6,49264,-83
192.168.4.2,49264,-76
192.168.4.4,49264,-71
192.168.4.3,49280,-73
192.168.4.6,49280,-83
192.168.4.2,49280,-75
192.168.4.4,49280,-74
192.168.4.3,49296,-74
192.168.4.6,49296,-84
192.168.4.2,49296,-73
192.168.4.4,49296,-70
192.168.4.3,49312,-73
192.168.4.6,49312,-81
192.168.4.2,49312,-73
192.168.4.4,49312,-69
192.168.4.3,49328,-74
192.168.4.6,49328,-82
192.168.4.2,49328,-74
192.168.4.4,49328,-71
192.168.4.3,49360,-72
192.168.4.6,49360,-86
192.168.4.2,49360,-76
192.168.4.4,49360,-70
192.168.4.3,49376,-75
192.168.4.6,49376,-83
192.168.4.2,49376,-76
192.168.4.4,49376,-71
192.168.4.3,49392,-73
192.168.4.6,49392,-80
192.168.4.2,49392,-75
192.168.4.4,49392,-70
192.168.4.3,49408,-72
192.168.4.6,49408,-87
192.168.4.2,49408,-76
192.168.4.4,49408,-71
192.168.4.3,49424,-74
192.168.4.6,49424,-87
192.168.4.2,49424,-75
192.168.4.4,49424,-71
192.168.4.3,49456,-74
192.168.4.6,49456,-83
192.168.4.2,49456,-75
192.168.4.4,49456,-67
192.168.4.3,49488,-74
192.168.4.6,49488,-85
192.168.4.2,49488,-77
192.168.4.4,49488,-69
192.168.4.3,49504,-74
192.168.4.6,49504,-87
192.168.4.2,49504,-79
192.168.4.4,49504,-69
192.168.4.3,49520,-75
192.168.4.6,49520,-84
192.168.4.2,49520,-77
192.168.4.4,49520,-68
192.168.4.3,49536,-75
192.168.4.6,49536,-80
192.168.4.2,49536,-75
192.168.4.4,49536,-66
192.168.4.3,49552,-74
192.168.4.6,49552,-85
192.168.4.2,49552,-75
192.168.4.4,49552,-69
192.168.4.3,49568,-73
192.168.4.6,49568,-88
192.168.4.2,49568,-77
192.168.4.4,49568,-68
192.168.4.3,49584,-75
192.168.4.6,49584,-86
192.168.4.2,49584,-76
192.168.4.4,49584,-66
192.168.4.3,49648,-74
192.168.4.6,49648,-88
192.168.4.2,49648,-77
192.168.4.4,49648,-65
192.168.4.3,49664,-73
192.168.4.6,49664,-84
192.168.4.2,49664,-77
192.168.4.4,49664,-64
192.168.4.3,49680,-73
192.168.4.6,49680,-83
192.168.4.2,49680,-76
192.168.4.4,49680,-60
192.168.4.3,49696,-73
192.168.4.6,49696,-85
192.168.4.2,49696,-77
192.168.4.4,49696,-66
192.168.4.6,49712,-95
192.168.4.4,49712,-67
192.168.4.6,49744,-82
192.168.4.2,49744,-77
192.168.4.4,49744,-64
192.168.4.3,49760,-73
192.168.4.6,49760,-83
192.168.4.2,49760,-79
192.168.4.4,49760,-67
192.168.4.3,49776,-73
192.168.4.6,49776,-85
192.168.4.4,49776,-66
192.168.4.3,49792,-74
192.168.4.6,49792,-82
192.168.4.2,49792,-77
192.168.4.4,49792,-65
192.168.4.3,49808,-75
192.168.4.6,49808,-82
192.168.4.4,49808,-63
192.168.4.3,49824,-75
192.168.4.6,49824,-88
192.168.4.4,49824,-63
192.168.4.3,49856,-75
192.168.4.6,49856,-85
192.168.4.4,49856,-58
192.168.4.3,49872,-75
192.168.4.6,49872,-83
192.168.4.4,49872,-58
192.168.4.3,49888,-75
192.168.4.4,49888,-59
192.168.4.3,49904,-74
192.168.4.6,49904,-87
192.168.4.4,49904,-59
192.168.4.3,49920,-73
192.168.4.6,49920,-85
192.168.4.4,49920,-57
192.168.4.3,49936,-74
192.168.4.6,49936,-88
192.168.4.4,49936,-59
192.168.4.3,49952,-72
192.168.4.6,49952,-91
192.168.4.4,49952,-55
192.168.4.3,49968,-74
192.168.4.6,49968,-87
192.168.4.4,49968,-54
192.168.4.3,49984,-74
192.168.4.6,49984,-83
192.168.4.4,49984,-56
192.168.4.3,50000,-76
192.168.4.6,50000,-87
192.168.4.4,50000,-56
192.168.4.3,50016,-74
192.168.4.6,50016,-83
192.168.4.4,50016,-51
192.168.4.3,50032,-73
192.168.4.6,50032,-82
192.168.4.4,50032,-53
192.168.4.3,50048,-76
192.168.4.6,50048,-88
192.168.4.4,50048,-50
192.168.4.3,50064,-74
192.168.4.6,50064,-82
192.168.4.4,50064,-56
192.168.4.3,50080,-73
192.168.4.6,50080,-84
192.168.4.4,50080,-50
192.168.4.3,50096,-75
192.168.4.6,50096,-83
192.168.4.4,50096,-51
192.168.4.3,50112,-73
192.168.4.6,50112,-82
192.168.4.4,50112,-51
192.168.4.3,50128,-74
192.168.4.6,50128,-83
192.168.4.4,50128,-52
192.168.4.3,50144,-74
192.168.4.6,50144,-82
192.168.4.4,50144,-52
192.168.4.3,50160,-74
192.168.4.6,50160,-85
192.168.4.4,50160,-51
192.168.4.3,50176,-74
192.168.4.6,50176,-86
192.168.4.4,50176,-54
192.168.4.6,50192,-87
192.168.4.4,50192,-59
192.168.4.3,50208,-74
192.168.4.6,50208,-87
192.168.4.4,50208,-61
192.168.4.3,50224,-75
192.168.4.6,50224,-84
192.168.4.4,50224,-68
192.168.4.3,50240,-74
192.168.4.6,50240,-83
192.168.4.4,50240,-60
192.168.4.3,50256,-74
192.168.4.6,50256,-83
192.168.4.4,50256,-64
192.168.4.6,50272,-81
192.168.4.4,50272,-61
192.168.4.3,50304,-73
192.168.4.6,50304,-83
192.168.4.4,50304,-67
192.168.4.3,50320,-74
192.168.4.6,50320,-81
192.168.4.4,50320,-65
192.168.4.3,50336,-72
192.168.4.6,50336,-84
192.168.4.4,50336,-60
192.168.4.3,50352,-74
192.168.4.6,50352,-86
192.168.4.4,50352,-65
192.168.4.3,50368,-76
192.168.4.6,50368,-85
192.168.4.4,50368,-67
192.168.4.3,50400,-75
192.168.4.6,50400,-84
192.168.4.4,50400,-62
192.168.4.3,50416,-73
192.168.4.6,50416,-87
192.168.4.4,50416,-67
192.168.4.3,50432,-71
192.168.4.6,50432,-84
192.168.4.4,50432,-67
192.168.4.3,50448,-73
192.168.4.6,50448,-81
192.168.4.4,50448,-68
192.168.4.6,50464,-88
192.168.4.4,50464,-72
192.168.4.3,50480,-77
192.168.4.6,50480,-85
192.168.4.4,50480,-77
192.168.4.3,50496,-76
192.168.4.6,50496,-84
192.168.4.4,50496,-74
192.168.4.3,50512,-75
192.168.4.6,50512,-85
192.168.4.4,50512,-69
192.168.4.3,50528,-74
192.168.4.6,50528,-83
192.168.4.4,50528,-67
192.168.4.3,50544,-74
192.168.4.6,50544,-81
192.168.4.4,50544,-67
192.168.4.3,50560,-74
192.168.4.6,50560,-80
192.168.4.4,50560,-66
192.168.4.3,50576,-77
192.168.4.6,50576,-80
192.168.4.4,50576,-68
192.168.4.3,50592,-76
192.168.4.6,50592,-85
192.168.4.4,50592,-70
192.168.4.3,50608,-76
192.168.4.6,50608,-86
192.168.4.4,50608,-72
192.168.4.3,50624,-74
192.168.4.6,50624,-85
192.168.4.4,50624,-69
192.168.4.3,50640,-74
192.168.4.6,50640,-82
192.168.4.4,50640,-68
192.168.4.3,50656,-73
192.168.4.6,50656,-81
192.168.4.4,50656,-65
192.168.4.3,50672,-74
192.168.4.6,50672,-83
192.168.4.4,50672,-65
192.168.4.3,50688,-73
192.168.4.6,50688,-83
192.168.4.4,50688,-68
192.168.4.3,50704,-75
192.168.4.6,50704,-82
192.168.4.4,50704,-72
192.168.4.3,50720,-76
192.168.4.6,50720,-82
192.168.4.4,50720,-70
192.168.4.3,50736,-76
192.168.4.6,50736,-82
192.168.4.4,50736,-70
192.168.4.3,50752,-76
192.168.4.6,50752,-81
192.168.4.4,50752,-70
192.168.4.3,50768,-74
192.168.4.4,50768,-70
192.168.4.3,50784,-74
192.168.4.4,50784,-72
192.168.4.3,50800,-75
192.168.4.4,50800,-75
192.168.4.3,50816,-77
192.168.4.3,50832,-75
192.168.4.3,50864,-74
192.168.4.3,50880,-74
192.168.4.4,50880,-74
192.168.4.3,50896,-74
192.168.4.4,50896,-73
192.168.4.3,50912,-74
192.168.4.4,50912,-74
192.168.4.3,50928,-76
192.168.4.3,50960,-76
