millis,node,x,y,rssi,distance,target_x,target_y
9408,1,0,0,-71.9053,23.668,16.7358,16.7358
9408,2,50,0,-77.7817,37.237,16.7358,16.7358
9408,5,0,50,-77.7817,37.237,16.7358,16.7358
9508,1,0,0,-71.6276,23.168,16.3823,16.3823
9508,2,50,0,-77.8374,37.3969,16.3823,16.3823
9508,5,0,50,-77.8374,37.3969,16.3823,16.3823
9608,1,0,0,-71.3439,22.668,16.0287,16.0287
9608,2,50,0,-77.8949,37.5629,16.0287,16.0287
9608,5,0,50,-77.8949,37.5629,16.0287,16.0287
9708,1,0,0,-71.0538,22.168,15.6752,15.6752
9708,2,50,0,-77.9542,37.7347,15.6752,15.6752
9708,5,0,50,-77.9542,37.7347,15.6752,15.6752
9808,1,0,0,-70.7572,21.668,15.3216,15.3216
9808,2,50,0,-78.0152,37.9123,15.3216,15.3216
9808,5,0,50,-78.0152,37.9123,15.3216,15.3216
9908,1,0,0,-70.4536,21.168,14.9681,14.9681
9908,2,50,0,-78.078,38.0957,14.9681,14.9681
9908,5,0,50,-78.078,38.0957,14.9681,14.9681
10008,1,0,0,-70.1428,20.668,14.6145,14.6145
10008,2,50,0,-78.1423,38.2847,14.6145,14.6145
10008,5,0,50,-78.1423,38.2847,14.6145,14.6145
10108,1,0,0,-69.8244,20.168,14.2609,14.2609
10108,2,50,0,-78.2082,38.4793,14.2609,14.2609
10108,5,0,50,-78.2082,38.4793,14.2609,14.2609
10208,1,0,0,-69.498,19.668,13.9074,13.9074
10208,2,50,0,-78.2757,38.6793,13.9074,13.9074
10208,5,0,50,-78.2757,38.6793,13.9074,13.9074
10308,1,0,0,-69.1632,19.168,13.5538,13.5538
10308,2,50,0,-78.3446,38.8848,13.5538,13.5538
10308,5,0,50,-78.3446,38.8848,13.5538,13.5538
10408,1,0,0,-68.8196,18.668,13.2003,13.2003
10408,2,50,0,-78.4149,39.0956,13.2003,13.2003
10408,5,0,50,-78.4149,39.0956,13.2003,13.2003
10508,1,0,0,-68.4667,18.168,12.8467,12.8467
10508,2,50,0,-78.4866,39.3116,12.8467,12.8467
10508,5,0,50,-78.4866,39.3116,12.8467,12.8467
10608,1,0,0,-68.104,17.668,12.4932,12.4932
10608,2,50,0,-78.5596,39.5328,12.4932,12.4932
10608,5,0,50,-78.5596,39.5328,12.4932,12.4932
10708,1,0,0,-67.7309,17.168,12.1396,12.1396
10708,2,50,0,-78.6338,39.759,12.1396,12.1396
10708,5,0,50,-78.6338,39.759,12.1396,12.1396
10808,1,0,0,-67.3467,16.668,11.7861,11.7861
10808,2,50,0,-78.7093,39.9902,11.7861,11.7861
10808,5,0,50,-78.7093,39.9902,11.7861,11.7861
10908,1,0,0,-66.9509,16.168,11.4325,11.4325
10908,2,50,0,-78.7858,40.2263,11.4325,11.4325
10908,5,0,50,-78.7858,40.2263,11.4325,11.4325
11008,1,0,0,-66.5427,15.668,11.079,11.079
11008,2,50,0,-78.8635,40.4672,11.079,11.079
11008,5,0,50,-78.8635,40.4672,11.079,11.079
11108,1,0,0,-66.1213,15.168,10.7254,10.7254
11108,2,50,0,-78.9423,40.7127,10.7254,10.7254
11108,5,0,50,-78.9423,40.7127,10.7254,10.7254
11208,1,0,0,-65.6859,14.668,10.3719,10.3719
11208,2,50,0,-79.022,40.963,10.3719,10.3719
11208,5,0,50,-79.022,40.963,10.3719,10.3719
11308,1,0,0,-65.2353,14.168,10.0183,10.0183
11308,2,50,0,-79.1027,41.2177,10.0183,10.0183
11308,5,0,50,-79.1027,41.2177,10.0183,10.0183
11408,1,0,0,-65.1725,14.1421,10,10
11408,2,50,0,-79.1138,41.2311,10,10
11408,5,0,50,-79.1138,41.2311,10,10
11508,1,0,0,-65.1725,14.1421,10,10
11508,2,50,0,-79.1138,41.2311,10,10
11508,5,0,50,-79.1138,41.2311,10,10
11608,1,0,0,-65.1725,14.1421,10,10
11608,2,50,0,-79.1138,41.2311,10,10
11608,5,0,50,-79.1138,41.2311,10,10
11708,1,0,0,-65.1725,14.1421,10,10
11708,2,50,0,-79.1138,41.2311,10,10
11708,5,0,50,-79.1138,41.2311,10,10
11808,1,0,0,-65.1725,14.1421,10,10
11808,2,50,0,-79.1138,41.2311,10,10
11808,5,0,50,-79.1138,41.2311,10,10
11908,1,0,0,-65.1725,14.1421,10,10
11908,2,50,0,-79.1138,41.2311,10,10
11908,5,0,50,-79.1138,41.2311,10,10
12008,1,0,0,-65.1725,14.1421,10,10
12008,2,50,0,-79.1138,41.2311,10,10
12008,5,0,50,-79.1138,41.2311,10,10
12108,1,0,0,-65.1725,14.1421,10,10
12108,2,50,0,-79.1138,41.2311,10,10
12108,5,0,50,-79.1138,41.2311,10,10
12208,1,0,0,-65.1725,14.1421,10,10
12208,2,50,0,-79.1138,41.2311,10,10
12208,5,0,50,-79.1138,41.2311,10,10
12308,1,0,0,-65.1725,14.1421,10,10
12308,2,50,0,-79.1138,41.2311,10,10
12308,5,0,50,-79.1138,41.2311,10,10
12408,1,0,0,-65.1725,14.1421,10,10
